x	cosh(x)		cosh'(x)		cosh'(x)		cosh''(x)	cosh''(x)

			           af	      df	        af	      df

8.760000 3187.055867 3187.055711 3219.139806 3187.055867 3187.162104
8.780000 3251.438664 3251.438510 3284.170747 3251.438664 3251.547046
8.800000 3317.122079 3317.121928 3350.515400 3317.122079 3317.232651
8.820000 3384.132387 3384.132239 3418.200304 3384.132387 3384.245192
8.840000 3452.496393 3452.496248 3487.252534 3452.496393 3452.611477
8.860000 3522.241443 3522.241301 3557.699711 3522.241443 3522.358853
8.880000 3593.395437 3593.395298 3629.570015 3593.395437 3593.515219
8.900000 3665.986838 3665.986701 3702.892196 3665.986838 3666.109039
8.920000 3740.044682 3740.044548 3777.695583 3740.044682 3740.169352
8.940000 3815.598593 3815.598462 3854.010098 3815.598593 3815.725782
8.960000 3892.678795 3892.678667 3931.866269 3892.678795 3892.808553
8.980000 3971.316121 3971.315995 4011.295239 3971.316121 3971.448500
9.000000 4051.542025 4051.541902 4092.328781 4051.542025 4051.677079
9.020000 4133.388601 4133.388480 4174.999309 4133.388601 4133.526383
9.040000 4216.888587 4216.888469 4259.339892 4216.888587 4217.029152
9.060000 4302.075385 4302.075269 4345.384268 4302.075385 4302.218790
9.080000 4388.983070 4388.982957 4433.166855 4388.983070 4389.129372
9.100000 4477.646408 4477.646296 4522.722768 4477.646408 4477.795664
9.120000 4568.100863 4568.100753 4614.087831 4568.100863 4568.253135
9.140000 4660.382620 4660.382512 4707.298590 4660.382620 4660.537968
9.160000 4754.528591 4754.528486 4802.392332 4754.528591 4754.687078
9.180000 4850.576438 4850.576335 4899.407094 4850.576438 4850.738126
9.200000 4948.564580 4948.564479 4998.381685 4948.564580 4948.729534
9.220000 5048.532214 5048.532115 5099.355695 5048.532214 5048.700500
9.240000 5150.519327 5150.519230 5202.369515 5150.519327 5150.691014
9.260000 5254.566718 5254.566623 5307.464353 5254.566718 5254.741872
9.280000 5360.716005 5360.715912 5414.682247 5360.716005 5360.894698
9.300000 5469.009650 5469.009558 5524.066086 5469.009650 5469.191953
9.320000 5579.490972 5579.490882 5635.659625 5579.490972 5579.676957
9.340000 5692.204164 5692.204076 5749.507503 5692.204164 5692.393907
9.360000 5807.194314 5807.194228 5865.655261 5807.194314 5807.387890
9.380000 5924.507419 5924.507335 5984.149359 5924.507419 5924.704906
9.400000 6044.190406 6044.190324 6105.037197 6044.190406 6044.391882
9.420000 6166.291150 6166.291069 6228.367131 6166.291150 6166.496696
9.440000 6290.858493 6290.858414 6354.188494 6290.858493 6291.068191
9.460000 6417.942263 6417.942185 6482.551618 6417.942263 6418.156197
9.480000 6547.593295 6547.593219 6613.507849 6547.593295 6547.811551
9.500000 6679.863452 6679.863377 6747.109572 6679.863452 6680.086117
9.520000 6814.805644 6814.805570 6883.410228 6814.805644 6815.032807
9.540000 6952.473848 6952.473776 7022.464340 6952.473848 6952.705600
9.560000 7092.923135 7092.923065 7164.327531 7092.923135 7093.159569
9.580000 7236.209686 7236.209617 7309.056549 7236.209686 7236.450896
9.600000 7382.390817 7382.390749 7456.709287 7382.390817 7382.636900
9.620000 7531.525002 7531.524936 7607.344808 7531.525002 7531.776057
9.640000 7683.671899 7683.671833 7761.023369 7683.671899 7683.928024
9.660000 7838.892366 7838.892302 7917.806442 7838.892366 7839.153666
9.680000 7997.248495 7997.248432 8077.756744 7997.248495 7997.515073
9.700000 8158.803630 8158.803568 8240.938255 8158.803630 8159.075593
9.720000 8323.622395 8323.622335 8407.416252 8323.622395 8323.899853
9.740000 8491.770720 8491.770661 8577.257328 8491.770720 8492.053783
9.760000 8663.315866 8663.315809 8750.529421 8663.315866 8663.604647
9.780000 8838.326455 8838.326398 8927.301842 8838.326455 8838.621070
9.800000 9016.872492 9016.872436 9107.645304 9016.872492 9017.173058
9.820000 9199.025398 9199.025343 9291.631944 9199.025398 9199.332036
9.840000 9384.858037 9384.857983 9479.335362 9384.858037 9385.170869
9.860000 9574.444744 9574.444692 9670.830640 9574.444744 9574.763896
9.880000 9767.861357 9767.861305 9866.194379 9767.861357 9768.186956
9.900000 9965.185244 9965.185194 10065.504727 9965.185244 9965.517421
9.920000 10166.495339 10166.495290 10268.841412 10166.495339 10166.834226
9.940000 10371.872167 10371.872119 10476.285770 10371.872167 10372.217901
9.960000 10581.397882 10581.397835 10687.920782 10581.397882 10581.750600
9.980000 10795.156298 10795.156252 10903.831105 10795.156298 10795.516141
10.000000 11013.232920 11013.232875 11124.103105 11013.232920 11013.600033
