x	cosh(x)		cosh'(x)		cosh'(x)		cosh''(x)	cosh''(x)

			           af	      df	        af	      df

2.080000 4.064700 3.939769 3.980680 4.064700 4.064835
2.100000 4.144313 4.021857 4.063569 4.144313 4.144451
2.120000 4.225585 4.105553 4.148084 4.225585 4.225725
2.140000 4.308546 4.190891 4.234258 4.308546 4.308690
2.160000 4.393231 4.277906 4.322125 4.393231 4.393378
2.180000 4.479674 4.366632 4.411722 4.479674 4.479823
2.200000 4.567908 4.457105 4.503083 4.567908 4.568061
2.220000 4.657970 4.549361 4.596245 4.657970 4.658125
2.240000 4.749895 4.643436 4.691246 4.749895 4.750053
2.260000 4.843720 4.739369 4.788124 4.843720 4.843881
2.280000 4.939482 4.837198 4.886917 4.939482 4.939647
2.300000 5.037221 4.936962 4.987665 5.037221 5.037389
2.320000 5.136974 5.038700 5.090408 5.136974 5.137145
2.340000 5.238782 5.142454 5.195187 5.238782 5.238957
2.360000 5.342686 5.248266 5.302044 5.342686 5.342864
2.380000 5.448727 5.356176 5.411022 5.448727 5.448908
2.400000 5.556947 5.466229 5.522165 5.556947 5.557132
2.420000 5.667390 5.578469 5.635517 5.667390 5.667579
2.440000 5.780101 5.692940 5.751122 5.780101 5.780293
2.460000 5.895123 5.809688 5.869029 5.895123 5.895320
2.480000 6.012504 5.928761 5.989283 6.012504 6.012704
2.500000 6.132289 6.050204 6.111933 6.132289 6.132494
2.520000 6.254528 6.174069 6.237028 6.254528 6.254737
2.540000 6.379269 6.300402 6.364617 6.379269 6.379481
2.560000 6.506561 6.429256 6.494753 6.506561 6.506778
2.580000 6.636456 6.560682 6.627486 6.636456 6.636677
2.600000 6.769006 6.694732 6.762871 6.769006 6.769231
2.620000 6.904263 6.831460 6.900961 6.904263 6.904493
2.640000 7.042282 6.970921 7.041811 7.042282 7.042517
2.660000 7.183119 7.113170 7.185478 7.183119 7.183358
2.680000 7.326828 7.258265 7.332020 7.326828 7.327072
2.700000 7.473469 7.406263 7.481494 7.473469 7.473718
2.720000 7.623098 7.557224 7.633961 7.623098 7.623353
2.740000 7.775778 7.711207 7.789482 7.775778 7.776037
2.760000 7.931567 7.868276 7.948118 7.931567 7.931832
2.780000 8.090530 8.028491 8.109934 8.090530 8.090799
2.800000 8.252728 8.191918 8.274995 8.252728 8.253004
2.820000 8.418228 8.358622 8.443365 8.418228 8.418509
2.840000 8.587096 8.528670 8.615112 8.587096 8.587382
2.860000 8.759398 8.702129 8.790306 8.759398 8.759690
2.880000 8.935204 8.879069 8.969016 8.935204 8.935502
2.900000 9.114584 9.059561 9.151314 9.114584 9.114888
2.920000 9.297611 9.243677 9.337272 9.297611 9.297920
2.940000 9.484356 9.431490 9.526966 9.484356 9.484672
2.960000 9.674895 9.623076 9.720470 9.674895 9.675218
2.980000 9.869305 9.818512 9.917863 9.869305 9.869634
3.000000 10.067662 10.017875 10.119223 10.067662 10.067998
3.020000 10.270046 10.221245 10.324631 10.270046 10.270389
3.040000 10.476539 10.428704 10.534168 10.476539 10.476888
3.060000 10.687222 10.640335 10.747920 10.687222 10.687579
3.080000 10.902181 10.856222 10.965971 10.902181 10.902544
3.100000 11.121500 11.076451 11.188408 11.121500 11.121871
3.120000 11.345268 11.301111 11.415321 11.345268 11.345647
3.140000 11.573575 11.530292 11.646800 11.573575 11.573961
3.160000 11.806511 11.764085 11.882938 11.806511 11.806904
3.180000 12.044170 12.002584 12.123830 12.044170 12.044571
3.200000 12.286646 12.245884 12.369571 12.286646 12.287056
3.220000 12.534038 12.494083 12.620260 12.534038 12.534455
3.240000 12.786443 12.747279 12.875997 12.786443 12.786869
3.260000 13.043963 13.005574 13.136885 13.043963 13.044398
3.280000 13.306700 13.269072 13.403028 13.306700 13.307144
3.300000 13.574761 13.537878 13.674533 13.574761 13.575214
3.320000 13.848252 13.812099 13.951507 13.848252 13.848713
3.340000 14.127282 14.091845 14.234062 14.127282 14.127753
3.360000 14.411963 14.377228 14.522311 14.411963 14.412443
3.380000 14.702409 14.668362 14.816369 14.702409 14.702899
3.400000 14.998737 14.965363 15.116353 14.998737 14.999237
3.420000 15.301064 15.268351 15.422385 15.301064 15.301574
3.440000 15.609511 15.577447 15.734586 15.609511 15.610032
3.460000 15.924203 15.892773 16.053080 15.924203 15.924734
3.480000 16.245265 16.214457 16.377996 16.245265 16.245806
3.500000 16.572825 16.542627 16.709464 16.572825 16.573377
3.520000 16.907014 16.877415 17.047615 16.907014 16.907578
3.540000 17.247966 17.218953 17.392586 17.247966 17.248541
3.560000 17.595818 17.567379 17.744514 17.595818 17.596405
3.580000 17.950708 17.922833 18.103541 17.950708 17.951307
3.600000 18.312779 18.285455 18.469808 18.312779 18.313390
3.620000 18.682175 18.655393 18.843464 18.682175 18.682798
3.640000 19.059045 19.032792 19.224658 19.059045 19.059680
3.660000 19.443538 19.417805 19.613542 19.443538 19.444186
3.680000 19.835809 19.810586 20.010271 19.835809 19.836470
3.700000 20.236014 20.211290 20.415005 20.236014 20.236688
3.720000 20.644314 20.620080 20.827905 20.644314 20.645002
3.740000 21.060872 21.037118 21.249136 21.060872 21.061574
3.760000 21.485855 21.462571 21.678868 21.485855 21.486571
3.780000 21.919432 21.896610 22.117271 21.919432 21.920163
3.800000 22.361778 22.339407 22.564521 22.361778 22.362523
3.820000 22.813068 22.791140 23.020798 22.813068 22.813829
3.840000 23.273484 23.251990 23.486283 23.273484 23.274260
3.860000 23.743210 23.722142 23.961163 23.743210 23.744001
3.880000 24.222433 24.201782 24.445628 24.222433 24.223240
3.900000 24.711346 24.691104 24.939871 24.711346 24.712169
3.920000 25.210143 25.190302 25.444091 25.210143 25.210983
3.940000 25.719025 25.699577 25.958489 25.719025 25.719882
3.960000 26.238195 26.219131 26.483270 26.238195 26.239069
3.980000 26.767860 26.749174 27.018645 26.767860 26.768752
4.000000 27.308233 27.289917 27.564828 27.308233 27.309143
4.020000 27.859529 27.841576 28.122037 27.859529 27.860458
4.040000 28.421970 28.404373 28.690496 28.421970 28.422918
4.060000 28.995780 28.978531 29.270430 28.995780 28.996747
4.080000 29.581189 29.564281 29.862074 29.581189 29.582175
4.100000 30.178430 30.161857 30.465663 30.178430 30.179436
4.120000 30.787743 30.771499 31.081438 30.787743 30.788770
4.140000 31.409372 31.393449 31.709646 31.409372 31.410419
4.160000 32.043565 32.027958 32.350539 32.043565 32.044633
4.180000 32.690576 32.675277 33.004372 32.690576 32.691666
4.200000 33.350663 33.335668 33.671408 33.350663 33.351775
4.220000 34.024091 34.009393 34.351912 34.024091 34.025226
4.240000 34.711130 34.696722 35.046158 34.711130 34.712287
4.260000 35.412053 35.397931 35.754423 35.412053 35.413233
4.280000 36.127141 36.113299 36.476990 36.127141 36.128346
4.300000 36.856681 36.843113 37.214148 36.856681 36.857910
4.320000 37.600964 37.587664 37.966192 37.600964 37.602217
4.340000 38.360288 38.347251 38.733424 38.360288 38.361567
4.360000 39.134956 39.122178 39.516149 39.134956 39.136261
4.380000 39.925279 39.912754 40.314681 39.925279 39.926610
4.400000 40.731573 40.719296 41.129340 40.731573 40.732931
4.420000 41.554160 41.542126 41.960451 41.554160 41.555545
4.440000 42.393369 42.381573 42.808346 42.393369 42.394782
4.460000 43.249536 43.237973 43.673366 43.249536 43.250977
4.480000 44.123003 44.111670 44.555855 44.123003 44.124474
4.500000 45.014120 45.003011 45.456168 45.014120 45.015621
4.520000 45.923244 45.912354 46.374663 45.923244 45.924774
4.540000 46.850737 46.840063 47.311709 46.850737 46.852298
4.560000 47.796971 47.786509 48.267680 47.796971 47.798564
4.580000 48.762325 48.752070 49.242959 48.762325 48.763950
4.600000 49.747184 49.737132 50.237936 49.747184 49.748842
4.620000 50.751942 50.742090 51.253009 50.751942 50.753634
4.640000 51.777003 51.767345 52.288583 51.777003 51.778729
4.660000 52.822774 52.813308 53.345074 52.822774 52.824535
4.680000 53.889676 53.880397 54.422904 53.889676 53.891472
4.700000 54.978134 54.969039 55.522503 54.978134 54.979966
4.720000 56.088584 56.079669 56.644312 56.088584 56.090454
4.740000 57.221470 57.212732 57.788780 57.221470 57.223378
4.760000 58.377246 58.368680 58.956363 58.377246 58.379192
4.780000 59.556373 59.547977 60.147531 59.556373 59.558358
4.800000 60.759324 60.751094 61.362758 60.759324 60.761349
4.820000 61.986579 61.978512 62.602530 61.986579 61.988645
4.840000 63.238629 63.230722 63.867345 63.238629 63.240737
4.860000 64.515976 64.508226 65.157708 64.515976 64.518127
4.880000 65.819130 65.811533 66.474134 65.819130 65.821324
4.900000 67.148613 67.141167 67.817151 67.148613 67.150851
4.920000 68.504956 68.497657 69.187296 68.504956 68.507240
4.940000 69.888702 69.881547 70.585117 69.888702 69.891032
4.960000 71.300404 71.293391 72.011172 71.300404 71.302781
4.980000 72.740628 72.733754 73.466033 72.740628 72.743053
5.000000 74.209949 74.203211 74.950282 74.209949 74.212422
5.020000 75.708954 75.702350 76.464511 75.708954 75.711478
5.040000 77.238244 77.231771 78.009328 77.238244 77.240819
5.060000 78.798431 78.792085 79.585349 78.798431 78.801058
5.080000 80.390138 80.383918 81.193205 80.390138 80.392818
5.100000 82.014002 82.007905 82.833540 82.014002 82.016736
5.120000 83.670673 83.664697 84.507009 83.670673 83.673462
5.140000 85.360813 85.354955 86.214282 85.360813 85.363658
5.160000 87.085099 87.079357 87.956042 87.085099 87.088002
5.180000 88.844219 88.838591 89.732986 88.844219 88.847181
5.200000 90.638879 90.633363 91.545824 90.638879 90.641901
5.220000 92.469796 92.464388 93.395282 92.469796 92.472878
5.240000 94.337701 94.332401 95.282098 94.337701 94.340846
5.260000 96.243343 96.238148 97.207030 96.243343 96.246551
5.280000 98.187484 98.182391 99.170845 98.187484 98.190757
5.300000 100.170901 100.165909 101.174329 100.170901 100.174240
5.320000 102.194387 102.189495 103.218285 102.194387 102.197794
5.340000 104.258753 104.253957 105.303530 104.258753 104.262228
5.360000 106.364824 106.360123 107.430897 106.364824 106.368369
5.380000 108.513442 108.508834 109.601238 108.513442 108.517059
5.400000 110.705466 110.700950 111.815422 110.705466 110.709157
